question_en,question_ar,answer_en,answer_ar,keywords_en,keywords_ar
"What is Qatar Aeronautical Academy?","ما هي أكاديمية قطر للطيران؟","Qatar Aeronautical Academy (QAA) is the Gulf region's leading provider of aviation training. Founded in 1977 as the Civil Aviation College of the Gulf States, it operates under the motto 'Excellence Becomes Reality'. QAA offers full-time approved courses for pilots, aircraft maintenance engineers, air traffic controllers, meteorologists, airport operations personnel, and flight dispatchers. The academy is located in Al Khulaifat Area, Doha, strategically between Doha International Airport and Hamad International Airport.","أكاديمية قطر للطيران هي المزود الرائد للتدريب على الطيران في منطقة الخليج. تأسست عام 1977 باسم كلية الطيران المدني لدول الخليج، وتعمل تحت شعار 'التميز يصبح حقيقة'. تقدم الأكاديمية دورات معتمدة بدوام كامل للطيارين ومهندسي صيانة الطائرات ومراقبي الحركة الجوية وأخصائيي الأرصاد الجوية وموظفي عمليات المطارات ومرسلي الرحلات.","QAA, about, overview, academy, history, founded","أكاديمية, قطر, طيران, نبذة, تاريخ"
"When was QAA founded?","متى تأسست أكاديمية قطر للطيران؟","QAA was founded in 1977 as the Civil Aviation College of the Gulf States. In 1996, it was renamed Qatar Aeronautical College. It is now known as Qatar Aeronautical Academy and is recognized as the Gulf region's leading aviation training provider.","تأسست أكاديمية قطر للطيران عام 1977 باسم كلية الطيران المدني لدول الخليج. في عام 1996 تم تغيير اسمها إلى كلية قطر للطيران. وهي معروفة الآن بأكاديمية قطر للطيران وتعتبر المزود الرائد للتدريب على الطيران في منطقة الخليج.","founded, history, established, year, 1977","تأسست, تاريخ, سنة"
"Who is the Director General of QAA?","من هو المدير العام لأكاديمية قطر للطيران؟","The Director General of Qatar Aeronautical Academy is Sheikh Jabor Bin Hamad M. Al-Thani. Under his leadership, the academy focuses on outstanding standards in advanced aviation disciplines and growing the aviation sector in Qatar.","المدير العام لأكاديمية قطر للطيران هو الشيخ جبر بن حمد آل ثاني. تحت قيادته، تركز الأكاديمية على المعايير المتميزة في تخصصات الطيران المتقدمة وتنمية قطاع الطيران في قطر.","director, general, leadership, head, management","مدير, عام, قيادة, إدارة"
"What is QAA's vision and mission?","ما هي رؤية ورسالة أكاديمية قطر للطيران؟","Vision: Prepare qualified cadres according to the highest international quality standards to achieve leadership in civil aviation. Mission: Prepare a generation of leaders through improved training opportunities and the latest training systems. Values: Integrity, loyalty, transparency, non-discrimination, and teamwork. Core Goal: Granting diplomas and degrees in Applied Science while collaborating with international education entities.","الرؤية: إعداد كوادر مؤهلة وفقاً لأعلى معايير الجودة الدولية لتحقيق الريادة في الطيران المدني. الرسالة: إعداد جيل من القادة من خلال تحسين فرص التدريب وأحدث أنظمة التدريب. القيم: النزاهة والولاء والشفافية وعدم التمييز والعمل الجماعي.","vision, mission, values, goal, motto","رؤية, رسالة, قيم, هدف"
"What programs does QAA offer?","ما هي البرامج التي تقدمها أكاديمية قطر للطيران؟","QAA offers these main programs: 1) Pilot Training - Multi-Crew Pilot License (MPL) and Commercial Pilot License (CPL). 2) Aircraft Maintenance Engineering (AME) - EASA Part 147 approved, B1.1, B1.2, B1.3, B2, and A1 categories. 3) Air Traffic Control (ATC). 4) Meteorology - 2.5-year diploma in partnership with Reading University. 5) Airport Operations Management. 6) Flight Dispatch. The academy also offers Foundation Programs, ICAO Short Courses, and English Language Proficiency (IELTS) programs.","تقدم الأكاديمية البرامج التالية: 1) تدريب الطيارين - رخصة طيار متعدد الطاقم ورخصة طيار تجاري. 2) هندسة صيانة الطائرات - معتمدة من EASA الجزء 147. 3) مراقبة الحركة الجوية. 4) الأرصاد الجوية - دبلوم مدته سنتان ونصف. 5) إدارة عمليات المطارات. 6) إرسال الرحلات. كما تقدم برامج تأسيسية ودورات ICAO القصيرة وبرامج اللغة الإنجليزية.","programs, courses, offered, available, list","برامج, دورات, متاحة, قائمة"
"Tell me about the pilot training program","أخبرني عن برنامج تدريب الطيارين","QAA offers two pilot training pathways: 1) Multi-Crew Pilot License (MPL) - competency-based training for multi-crew airline cockpits, emphasizing human factors, communication, and system management. Prepares pilots specifically for the Airbus A320. Duration is approximately 18-22 months. 2) Commercial Pilot License (CPL/IR) Integrated course - includes 186 flight hours, 32.5 FTD hours, and 40-hour MCC component. The academy trains about 30 pilot students annually. Instructor requirements include professional pilot license, A-320 type rating, airline jet experience, minimum 1,500 hours multi-crew, and 1,000 hours on aircraft above 20,000 kg.","تقدم الأكاديمية مسارين لتدريب الطيارين: 1) رخصة طيار متعدد الطاقم - تدريب قائم على الكفاءة للقمرة متعددة الطاقم. المدة حوالي 18-22 شهراً. 2) رخصة طيار تجاري متكاملة - تشمل 186 ساعة طيران و32.5 ساعة تدريب على الأجهزة و40 ساعة تعاون متعدد الطاقم. تدرب الأكاديمية حوالي 30 طالب طيران سنوياً.","pilot, training, MPL, CPL, flight, license","طيار, تدريب, رخصة, طيران"
"What is the MPL program?","ما هو برنامج رخصة الطيار متعدد الطاقم؟","The Multi-Crew Pilot License (MPL) is a competency-based training program at QAA designed for multi-crew airline cockpits. It emphasizes human factors, communication, and system-management skills. The program prepares pilots specifically for aircraft like the Airbus A320 and takes approximately 18-22 months including foundation studies. Upon completion, graduates may transfer to Embry-Riddle Aeronautical University as sophomores in the Bachelor of Science in Aeronautics degree program.","رخصة الطيار متعدد الطاقم هو برنامج تدريب قائم على الكفاءة في أكاديمية قطر للطيران مصمم لقمرات القيادة متعددة الطاقم. يركز على العوامل البشرية والاتصالات ومهارات إدارة الأنظمة. يعد البرنامج الطيارين خصيصاً لطائرات مثل إيرباص A320 ويستغرق حوالي 18-22 شهراً.","MPL, multi-crew, pilot, license, A320","رخصة, طيار, متعدد, طاقم"
"Tell me about aircraft maintenance engineering","أخبرني عن هندسة صيانة الطائرات","The Aircraft Maintenance Engineering (AME) program at QAA meets EASA Part 147 and QCAA regulations. The AME Department holds EASA Part-147 approval (reference: EASA.147.0065) and QCAA Part-147 approval (reference: OT/MTO/01). Specializations include Category B1.1 (Mechanical), B1.2, B1.3, B2 (Avionics), and A1. The B1.1 license course takes 2 years and 3 months. Ground avionics engineering course is 10 months. CAT A license course takes 10 months. Classes have a maximum of 15 students. Training uses the academy fleet (Diamond DA40, DA42) plus retired aircraft (Falcon 20, Piper Navajo, Piper Seneca) and QAA's own MRO department which is EASA and FAA approved.","برنامج هندسة صيانة الطائرات في الأكاديمية يلبي معايير EASA الجزء 147 ولوائح هيئة الطيران المدني القطرية. التخصصات تشمل الفئة B1.1 (ميكانيكي) و B2 (إلكترونيات الطيران) و A1. مدة دورة رخصة B1.1 هي سنتان و3 أشهر. دورة إلكترونيات الطيران 10 أشهر. دورة رخصة CAT A تستغرق 10 أشهر. الفصول بحد أقصى 15 طالباً.","maintenance, engineering, AME, EASA, B1, B2, avionics","صيانة, هندسة, طائرات, إلكترونيات"
"Tell me about the Air Traffic Control program","أخبرني عن برنامج مراقبة الحركة الجوية","The Air Traffic Control (ATC) program at QAA trains students in aircraft movement management on the ground and in the air. It utilizes advanced surveillance and communication technologies with locally-produced simulators. The program is designed to meet ICAO standards. Courses include Basic ATC Course, Aerodrome Control Course, Approach Control Course, and Area Control Course. The program trains both civil and military controllers. Graduates can operate within any international airspace framework.","برنامج مراقبة الحركة الجوية في الأكاديمية يدرب الطلاب على إدارة حركة الطائرات على الأرض وفي الجو. يستخدم تقنيات مراقبة واتصالات متقدمة مع أجهزة محاكاة محلية الإنتاج. البرنامج مصمم لتلبية معايير ICAO. الدورات تشمل دورة ATC الأساسية ودورة مراقبة المطار ودورة مراقبة الاقتراب ودورة مراقبة المنطقة.","ATC, air traffic control, controller","مراقبة, حركة, جوية"
"Tell me about the Meteorology program","أخبرني عن برنامج الأرصاد الجوية","The Meteorology program at QAA is a 2.5-year World Meteorology Organisation Diploma conducted in partnership with Reading University (UK). It addresses unique climatic challenges of the Gulf region and covers thermodynamics, atmospheric physics, satellite imagery, and radar interpretation. The program provides accurate weather forecasting and data analysis skills for flight planning. Graduates serve airlines and airport operators as specialized aviation meteorologists.","برنامج الأرصاد الجوية في الأكاديمية هو دبلوم مدته سنتان ونصف من المنظمة العالمية للأرصاد الجوية بالشراكة مع جامعة ريدنغ البريطانية. يتناول التحديات المناخية الفريدة لمنطقة الخليج ويغطي الديناميكا الحرارية وفيزياء الغلاف الجوي وصور الأقمار الصناعية وتفسير الرادار.","meteorology, weather, forecasting, climate","أرصاد, جوية, طقس, مناخ"
